id,family_name,given_name,cel_n0,tel_n0,birthdate,gender,ville_n0,commune_n0
1,Agah,Franck,764-983-7525 x45103,979-539-5743,11/24/1986,2,Nikolashaven,Apt. 563
2,Agah,Janel F.,626-557-6973,(955) 606-0474 x198,7/19/1984,2,Lake Shaniyaton,Suite 470
3,Schamberger,Beulah,(631) 554-9884,226-772-4391 x63117,4/20/1994,1,West Jadonton,Apt. 004
4,Kouyate,Alain,930-654-5552 x0269,277.286.3579,10/23/1978,1,South Cedrickshire,Suite 534
5,Kouyate,A.,259.201.8670 x1569,1-297-502-3855,2/4/1998,1,Idaberg,Suite 000
6,Mante,Nicole,(250) 925-6164,536.249.9978 x5266,5/3/1980,2,East Velmaside,Apt. 497
7,Bernhard,Elizabeth,530-271-3159,763-433-5541,7/17/1985,1,East Alaynashire,Suite 897
8,Auer,Cynthia,(705) 813-0656 x5492,325.967.9745 x820,3/9/1977,2,Rogahnfort,Suite 604
9,Rutherford,Harriet,821.863.4852 x821,1-585-923-4713 x3834,4/23/1973,1,Lake Patience,Apt. 177
10,Cronin,Irene,(488) 771-0929,1-450-626-6293,11/23/1986,2,North Trystanburgh,Apt. 284
